tax	taxprio	taxprio_orig	taxo_id	patrimonial	invasif	Ordre	Family
AESHNA GRANDIS	Aeshna grandis	Aeshna grandis	6326	0	0	Libellules	Aeshnidae
PLATYCNEMIS PENNIPES	Platycnemis pennipes	Platycnemis pennipes	6303	0	0	Libellules	Platycnemididae
CALOPTERYX SPLENDENS	Calopteryx splendens	Calopteryx splendens	6295	0	0	Libellules	Calopterygidae
Calopteryx virgo	Calopteryx virgo	Calopteryx virgo	6296	0	0	Libellules	Calopterygidae
Pyrrhosoma nymphula	Pyrrhosoma nymphula	Pyrrhosoma nymphula	6306	0	0	Libellules	Coenagrionidae
Coenagrion puella	Coenagrion puella	Coenagrion puella	6311	0	0	Libellules	Coenagrionidae
Libellula depressa	Libellula depressa	Libellula depressa	6341	0	0	Libellules	Libellulidae
Aeshna juncea	Aeshna juncea	Aeshna juncea	6328	1	0	Libellules	Aeshnidae
Cordulegaster boltonii	Cordulegaster boltonii	Cordulegaster boltonii	6334	1	0	Libellules	Cordulegasteridae
sympetrum danae	Sympetrum danae	Sympetrum danae	6348	0	0	Libellules	Libellulidae
cordulegaster boltonii	Cordulegaster boltonii	Cordulegaster boltonii	6334	1	0	Libellules	Cordulegasteridae
Enallagma cyathigerum	Enallagma cyathigerum	Enallagma cyathigerum	6307	0	0	Libellules	Coenagrionidae
Calopteryx splendens	Calopteryx splendens	Calopteryx splendens	6295	0	0	Libellules	Calopterygidae
coenagrion puella	Coenagrion puella	Coenagrion puella	6311	0	0	Libellules	Coenagrionidae
pyrrhosoma nymphula	Pyrrhosoma nymphula	Pyrrhosoma nymphula	6306	0	0	Libellules	Coenagrionidae
libellula depressa	Libellula depressa	Libellula depressa	6341	0	0	Libellules	Libellulidae
aeshna cyanea	Aeshna cyanea	Aeshna cyanea	6325	0	0	Libellules	Aeshnidae
Aeshna grandis	Aeshna grandis	Aeshna grandis	6326	0	0	Libellules	Aeshnidae
Platycnemis pennipes	Platycnemis pennipes	Platycnemis pennipes	6303	0	0	Libellules	Platycnemididae
calopteryx splendens	Calopteryx splendens	Calopteryx splendens	6295	0	0	Libellules	Calopterygidae
Onychogomphus forcipatus	Onychogomphus forcipatus	Onychogomphus forcipatus	6321	1	0	Libellules	Gomphidae
ischnura elegans	Ischnura elegans	Ischnura elegans	6304	0	0	Libellules	Coenagrionidae
Aeshna cyanea	Aeshna cyanea	Aeshna cyanea	6325	0	0	Libellules	Aeshnidae
Anax imperator	Anax imperator	Anax imperator	6331	0	0	Libellules	Aeshnidae
Ischnura elegans	Ischnura elegans	Ischnura elegans	6304	0	0	Libellules	Coenagrionidae
Cordulegaster bidentata	Cordulegaster bidentata	Cordulegaster bidentata	6333	1	0	Libellules	Cordulegasteridae
Cordulia aenea	Cordulia aenea	Cordulia aenea	6335	0	0	Libellules	Corduliidae
Somatochlora metallica	Somatochlora metallica	Somatochlora metallica	6338	0	0	Libellules	Corduliidae
Orthetrum cancellatum	Orthetrum cancellatum	Orthetrum cancellatum	6345	0	0	Libellules	Libellulidae
Erythromma sp.	Erythromma 	Erythromma sp.	1611	0	0	Libellules	Coenagrionidae
